v2	I(I1)	I(I2)
Step Information: V3=2.5  (Run: 1/3)
1.200000000000003e-001	3.848733e-006	1.561841e-006
1.300000000000003e-001	3.937877e-006	1.472975e-006
1.400000000000003e-001	4.025497e-006	1.385638e-006
1.500000000000003e-001	4.111468e-006	1.299955e-006
1.600000000000003e-001	4.195663e-006	1.216053e-006
1.700000000000003e-001	4.277955e-006	1.134059e-006
1.800000000000003e-001	4.358214e-006	1.054102e-006
1.900000000000003e-001	4.436311e-006	9.763145e-007
2.000000000000003e-001	4.512112e-006	9.008268e-007
2.100000000000004e-001	4.585486e-006	8.277719e-007
2.200000000000004e-001	4.656301e-006	7.572827e-007
2.300000000000004e-001	4.724423e-006	6.894917e-007
2.400000000000004e-001	4.789721e-006	6.245306e-007
2.500000000000004e-001	4.852065e-006	5.625290e-007
2.600000000000004e-001	4.911331e-006	5.036126e-007
2.700000000000004e-001	4.967396e-006	4.479025e-007
2.800000000000004e-001	5.020148e-006	3.955122e-007
2.900000000000004e-001	5.069483e-006	3.465449e-007
3.000000000000004e-001	5.115313e-006	3.010906e-007
3.100000000000004e-001	5.157563e-006	2.592217e-007
3.200000000000005e-001	5.196184e-006	2.209885e-007
3.300000000000005e-001	5.231154e-006	1.864133e-007
3.400000000000005e-001	5.262484e-006	1.554850e-007
3.500000000000005e-001	5.290225e-006	1.281527e-007
3.600000000000005e-001	5.314471e-006	1.043203e-007
3.700000000000005e-001	5.335370e-006	8.384208e-008
3.800000000000005e-001	5.353117e-006	6.652168e-008
3.900000000000005e-001	5.367956e-006	5.211417e-008
4.000000000000005e-001	5.380174e-006	4.033343e-008
4.100000000000005e-001	5.390084e-006	3.086424e-008
4.200000000000005e-001	5.398016e-006	2.337809e-008
4.300000000000006e-001	5.404293e-006	1.755044e-008
4.400000000000006e-001	5.409218e-006	1.307642e-008
4.500000000000006e-001	5.413067e-006	9.682752e-009
4.600000000000006e-001	5.416072e-006	7.134441e-009
4.700000000000006e-001	5.418428e-006	5.236609e-009
4.800000000000006e-001	5.420293e-006	3.832441e-009
4.900000000000006e-001	5.421789e-006	2.798813e-009
5.000000000000000e-001	5.423010e-006	2.040916e-009
